PVWatts V8: Hourly PV Performance Data

INPUTS:
lat,25.2048
lon,55.2708
system_capacity,150
azimuth,180
tilt,20
losses,10
array_type,1
module_type,0
dataset,nsrdb
timeframe,hourly

STATION INFO:
lat,25.209999084472656
lon,55.2599983215332
elev,3.0
tz,4.0
location,2607132
city,""
state,Dubai
country,United Arab Emirates
solar_resource_file,2607132.csv
distance,1239
weather_data_source,NSRDB PSM V4 Meteosat Prime Meridian tmy-2022 1.0.0

RESULTS
month,day,hour,AC system output (Wac),DC array output (Wdc),plane of array irradiance (W/m2),beam normal irradiance (W/m2),diffuse irradiance (W/m2),ambient temperature (C),module temperature (C),windspeed (m/s),albedo
Jan,1,0,0.0,0.0,0.0,0.0,0.0,20.9,20.9,3.4,0.2
Jan,1,1,0.0,0.0,0.0,0.0,0.0,20.6,20.6,3.3,0.2
Jan,1,2,0.0,0.0,0.0,0.0,0.0,20.2,20.2,3.2,0.2
Jan,1,3,0.0,0.0,0.0,0.0,0.0,19.9,19.9,3.1,0.2
Jan,1,4,0.0,0.0,0.0,0.0,0.0,18.1,18.1,2.6,0.2
Jan,1,5,0.0,0.0,0.0,0.0,0.0,18.2,18.2,2.3,0.2
Jan,1,6,0.0,0.0,0.0,0.0,0.0,18.4,18.4,2.0,0.2
Jan,1,7,2528.249,3237.501,36.422,64.0,14.0,18.9,19.84,1.9,0.2
Jan,1,8,40893.18,43011.793,326.943,533.0,66.0,20.3,29.554,2.0,0.2
Jan,1,9,72522.773,75803.321,581.497,730.0,91.0,21.4,37.586,2.1,0.2
Jan,1,10,93762.628,97823.435,770.679,820.0,107.0,22.1,42.302,2.4,0.2
Jan,1,11,106884.3,111427.141,889.055,864.0,116.0,22.6,43.881,2.9,0.2
Jan,1,12,110892.969,115583.071,922.773,875.0,119.0,22.9,43.564,3.3,0.2
Jan,1,13,105108.308,109585.907,865.491,829.0,134.0,23.0,41.501,3.6,0.2
Jan,1,14,92113.1,96113.311,744.965,785.0,127.0,22.8,38.51,3.7,0.2
Jan,1,15,70036.905,73226.132,553.266,697.0,112.0,22.4,33.92,3.8,0.2
Jan,1,16,38570.701,40603.996,314.204,522.0,86.0,21.7,28.379,3.6,0.2
Jan,1,17,3209.807,3944.096,58.385,148.0,33.0,20.5,21.563,3.0,0.2
Jan,1,18,0.0,0.0,0.0,0.0,0.0,19.8,19.8,3.0,0.2
Jan,1,19,0.0,0.0,0.0,0.0,0.0,19.4,19.4,3.1,0.2
Jan,1,20,0.0,0.0,0.0,0.0,0.0,19.1,19.1,3.2,0.2
Jan,1,21,0.0,0.0,0.0,0.0,0.0,18.8,18.8,3.2,0.2
Jan,1,22,0.0,0.0,0.0,0.0,0.0,18.5,18.5,3.3,0.2
Jan,1,23,0.0,0.0,0.0,0.0,0.0,18.2,18.2,3.4,0.2
Jan,2,0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,3.3,0.2
Jan,2,1,0.0,0.0,0.0,0.0,0.0,17.8,17.8,3.3,0.2
Jan,2,2,0.0,0.0,0.0,0.0,0.0,17.7,17.7,3.2,0.2
Jan,2,3,0.0,0.0,0.0,0.0,0.0,17.6,17.6,3.0,0.2
Jan,2,4,0.0,0.0,0.0,0.0,0.0,17.6,17.6,2.9,0.2
